landPrize
 鄉鎮市代碼,鄉鎮市中文,地段代碼,地段中文,地號,面積,公告現值,公告地價
3,草屯鎮,100,草屯段,10000,708,5700,790
3,草屯鎮,100,草屯段,10001,24,5700,790
3,草屯鎮,100,草屯段,10002,32,5700,790
3,草屯鎮,100,草屯段,10003,63,52200,5900
3,草屯鎮,100,草屯段,10004,194,5700,790
3,草屯鎮,100,草屯段,10005,1338,6960,934
3,草屯鎮,100,草屯段,10006,1545,6600,1000
3,草屯鎮,100,草屯段,10007,107,5600,1000
3,草屯鎮,100,草屯段,10008,587,6667,1000
3,草屯鎮,100,草屯段,10009,120,7720,953
3,草屯鎮,100,草屯段,10010,124,41248,9269
3,草屯鎮,100,草屯段,10011,1381,18110,4229
3,草屯鎮,100,草屯段,10012,24,64250,14375
3,草屯鎮,100,草屯段,10013,60,18500,4300
3,草屯鎮,100,草屯段,10014,12,51400,11500
3,草屯鎮,100,草屯段,10018,513,9600,1000
3,草屯鎮,100,草屯段,10020,30,52200,5900
3,草屯鎮,100,草屯段,10022,50,53713,12018
3,草屯鎮,100,草屯段,10023,2,37008,8280
3,草屯鎮,100,草屯段,10024,13,51400,11500
3,草屯鎮,100,草屯段,10025,6,51400,11500
3,草屯鎮,100,草屯段,10026,85,880,190
3,草屯鎮,100,草屯段,10027,1,5700,790
3,草屯鎮,100,草屯段,10028,9,880,190
3,草屯鎮,100,草屯段,10029,5,5700,790
3,草屯鎮,100,草屯段,10030,2,5700,790
3,草屯鎮,100,草屯段,10031,105,880,190
3,草屯鎮,100,草屯段,10032,4,880,190
3,草屯鎮,100,草屯段,10033,72,39900,8200
3,草屯鎮,100,草屯段,10034,1383,20146,4600
3,草屯鎮,100,草屯段,10035,408,9600,1000
3,草屯鎮,100,草屯段,10036,132,9600,1000
3,草屯鎮,100,草屯段,10038,40,9600,1000
3,草屯鎮,100,草屯段,10039,585,30900,3450
3,草屯鎮,100,草屯段,10040,92,9600,1000
3,草屯鎮,100,草屯段,10041,4,9600,1000
3,草屯鎮,100,草屯段,10042,10,9600,1000
3,草屯鎮,100,草屯段,10043,7,52200,5900
3,草屯鎮,100,草屯段,10044,143,9600,1000
3,草屯鎮,100,草屯段,10045,120,8133,963
3,草屯鎮,100,草屯段,10047,145,5700,790
3,草屯鎮,100,草屯段,20000,425,5700,790
3,草屯鎮,100,草屯段,20001,85,5700,790
3,草屯鎮,100,草屯段,20003,100,880,190
3,草屯鎮,100,草屯段,20004,13,5700,790
3,草屯鎮,100,草屯段,20005,7,5700,790
3,草屯鎮,100,草屯段,20006,27,5700,790
3,草屯鎮,100,草屯段,20007,31,18100,4200
3,草屯鎮,100,草屯段,20008,63,5700,790
3,草屯鎮,100,草屯段,20009,16,18100,4200
3,草屯鎮,100,草屯段,20010,238,5700,790
