公路編號,交流道名稱,南（東）向出口預告地名,北（西）向出口預告地名,縣市,鄉鎮市區,備註,工程處,工務段
台61,八里一交流道,,八里,新北市,八里區,(公路總局),第一區養護工程處,中和工務段
台61,八里二交流道,"台64線,八里;台64線,八里",,新北市,林口區,(公路總局),第一區養護工程處,中和工務段
台61,八里三交流道,"台15線,八里",八里;臺北港,新北市,八里區,,第一區養護工程處,中和工務段
台61,八里交流道,,"台15線,八里;台64線,快速公路",新北市,林口區,,第一區養護工程處,中和工務段
台61,蘆竹交流道,"台15線,桃園機場;台15線,蘆竹","台15線,蘆竹",桃園市,蘆竹區,,第一區養護工程處,中壢工務段
台61,竹圍交流道,竹圍,,桃園市,大園區,,第一區養護工程處,中壢工務段
台61,沙崙交流道,,"台15甲,沙崙;台15甲,竹圍",桃園市,大園區,,第一區養護工程處,中壢工務段
台61,大園交流道,桃園機場;大園,大園;桃園機場,桃園市,大園區,,第一區養護工程處,中壢工務段
台61,草漯交流道,草漯,草漯,桃園市,大園區,,第一區養護工程處,中壢工務段
台61,桃科交流道,桃園科技工業園區,,桃園市,觀音區,,第一區養護工程處,中壢工務段
台61,觀音交流道,"台66線,觀音","台66線,觀音",桃園市,觀音區,,第一區養護工程處,中壢工務段
台61,永安交流道,新屋,新屋,桃園市,新屋區,,第一區養護工程處,中壢工務段
台61,新豐一交流道,新豐,新豐,新竹縣,新豐鄉,,第一區養護工程處,新竹工務段
台61,新豐二交流道,,台15,新竹縣,新豐鄉,,第一區養護工程處,新竹工務段
台61,西濱交流道,,國道3號，新竹,苗栗縣,竹南鎮,,第二區養護工程處,苗栗工務段
台61,溪洲交流道,後龍;水尾,溪洲;後龍,苗栗縣,後龍鎮,,第二區養護工程處,苗栗工務段
台61,後龍交流道,"國道3號,後龍交流道;台6線,苗栗","台6線,苗栗;國道3號,後龍交流道",苗栗縣,後龍鎮,,第二區養護工程處,苗栗工務段
台61,赤土崎交流道,赤土崎,赤土崎,苗栗縣,後龍鎮,,第二區養護工程處,苗栗工務段
台61,白沙屯交流道,"台1線,西湖;台1線,白沙屯","台1線,白沙屯;台1線,西湖",苗栗縣,後龍鎮,,第二區養護工程處,苗栗工務段
台61,新埔交流道,"台1線,新埔","台1線,新埔",苗栗縣,通霄鎮,,第二區養護工程處,苗栗工務段
台61,通霄一交流道,"台1線,通霄","台1線,通霄",苗栗縣,通霄鎮,,第二區養護工程處,苗栗工務段
台61,通霄二交流道,通霄,,苗栗縣,通霄鎮,,第二區養護工程處,苗栗工務段
台61,苑裡交流道,苑裡;苑港漁港,,苗栗縣,通霄鎮,,第二區養護工程處,苗栗工務段
台61,房裡交流道,"國道3號,苑裡交流道;苑裡",,苗栗縣,苑裡鎮,,第二區養護工程處,苗栗工務段
台61,大甲交流道,,大甲;苑裡,臺中市,大甲區,,第二區養護工程處,臺中工務段
台61,福住交流道,大甲,,臺中市,大安區,,第二區養護工程處,臺中工務段
台61,大安一交流道,大安,大甲,臺中市,大安區,,第二區養護工程處,臺中工務段
台61,大安二交流道,,大安,臺中市,大安區,,第二區養護工程處,臺中工務段
台61,清水交流道,"國道4號;台17線,清水台中港","國道4號;台10線,清水",臺中市,清水區,,第二區養護工程處,臺中工務段
台61,梧棲交流道,梧棲,梧棲,臺中市,清水區,,第二區養護工程處,臺中工務段
台61,龍井交流道,"國道3號,龍井交流道;龍井",龍井,臺中市,梧棲區,,第二區養護工程處,臺中工務段
台61,伸港交流道,台61乙線，伸港,"台61乙線,伸港",彰化縣,伸港鄉,,第二區養護工程處,彰化工務段
台61,線西交流道,線西;彰濱工業區(線西區),彰濱工業區(線西區);線西,彰化縣,伸港鄉,,第二區養護工程處,彰化工務段
台61,洋厝交流道,洋厝,崙尾;洋厝,彰化縣,鹿港鎮,,第二區養護工程處,彰化工務段
台61,鹿港交流道,"鹿港;彰濱工業區,鹿港區","彰濱工業區,鹿港區;鹿港",彰化縣,鹿港鎮,,第二區養護工程處,彰化工務段
台61,福興交流道,福興;鹿港,福興;鹿港,彰化縣,鹿港鎮,,第二區養護工程處,彰化工務段
台61,漢寶交流道,漢寶,"台17線,漢寶",彰化縣,福興鄉,,第二區養護工程處,彰化工務段
台61,王功交流道,"台17線,王功","台17線,王功",彰化縣,芳苑鄉,,第二區養護工程處,彰化工務段
台61,芳苑交流道,"台17線,芳苑","台17線,芳苑",彰化縣,芳苑鄉,,第二區養護工程處,彰化工務段
台61,大城交流道,大城,大城,彰化縣,大城鄉,,第二區養護工程處,彰化工務段
台61,橋頭交流道,橋頭,橋頭,雲林縣,麥寮鄉,,第五區養護工程處,斗南工務段
台61,麥寮交流道,崙背;麥寮,麥寮;崙背,雲林縣,麥寮鄉,,第五區養護工程處,斗南工務段
台61,湖仔內交流道,湖仔內,湖仔內,雲林縣,麥寮鄉,,第五區養護工程處,斗南工務段
台61,崙豐交流道,崙豐,,雲林縣,臺西鄉,,第五區養護工程處,斗南工務段
台61,五條港交流道,台西;五條港,"台17線,五條港;台17線,台西",雲林縣,臺西鄉,,第五區養護工程處,斗南工務段
台61,台西交流道,"台78線,古坑;台78線,台西","台78線,古坑;台78線,台西",雲林縣,臺西鄉,,第五區養護工程處,斗南工務段
台61,四湖交流道,四湖;三條崙,四湖,雲林縣,四湖鄉,,第五區養護工程處,斗南工務段
台61,口湖交流道,"台17線,口湖","台17線,口湖;台17線,四湖",雲林縣,口湖鄉,,第五區養護工程處,水上工務段
台61,水井交流道,"台17線,?梧","台17線,?梧",雲林縣,口湖鄉,,第五區養護工程處,水上工務段
台61,鰲鼓交流道,"台17線,鰲鼓",,嘉義縣,東石鄉,,第五區養護工程處,水上工務段
台61,東石一交流道,"台82線;東石,六腳",,嘉義縣,東石鄉,,第五區養護工程處,水上工務段
台61,東石二交流道,,"台82線,東石,朴子;台82線,",嘉義縣,東石鄉,,第五區養護工程處,水上工務段
台61,白水湖交流道,過溝;白水湖,白水湖;過溝,嘉義縣,東石鄉,,第五區養護工程處,水上工務段
台61,布袋一交流道,布袋,布袋,嘉義縣,東石鄉,,第五區養護工程處,水上工務段
台61,布袋二交流道,布袋,布袋,嘉義縣,布袋鎮,,第五區養護工程處,水上工務段
台61,南鯤鯓交流道,"台17線,南鯤鯓",,臺南市,北門區,,第五區養護工程處,新營工務段
台61,北門交流道,"台84線,玉井;台17線,北門","台17線,北門;台84線,玉井",臺南市,北門區,,第五區養護工程處,新營工務段
台61,三寮灣交流道,學甲;蘆竹溝,蘆竹溝;學甲,臺南市,北門區,,第五區養護工程處,新營工務段
台61,將軍交流道,"將軍;青鯤鯓,馬沙溝","青鯤鯓,馬沙溝;將軍",臺南市,將軍區,,第五區養護工程處,新營工務段
台61,七股交流道,七股;鹽埕,七股;鹽埕,臺南市,七股區,,第五區養護工程處,新化工務段
台61,十份交流道,西港;十份,,臺南市,七股區,,第五區養護工程處,新化工務段
台62,安樂端,,,基隆市,安樂區,"(虛擬牌面,現地無牌面)",第一區養護工程處,基隆工務段
台62,瑪東系統交流道,,"國道3號,汐止;國道3號,基隆",基隆市,七堵區,,第一區養護工程處,基隆工務段
台62,七堵一交流道,"七堵,大埔",大埔;中股,基隆市,七堵區,,第一區養護工程處,基隆工務段
台62,七堵二交流道,,七堵,基隆市,七堵區,,第一區養護工程處,基隆工務段
台62,大華系統交流道,"國道1號,五堵","國道1號,五堵",基隆市,七堵區,,第一區養護工程處,基隆工務段
台62,暖暖交流道,"台2丙線,台2丁線,暖暖","台2丙線,台2丁線,暖暖",基隆市,七堵區,,第一區養護工程處,基隆工務段
台62,四腳亭交流道,"台62甲線,基隆;台62甲線,四腳亭",,基隆市,暖暖區,,第一區養護工程處,基隆工務段
台62,瑞芳交流道,八斗子;海科館,,基隆市,信義區,(現地牌面為16B八斗子),第一區養護工程處,基隆工務段
台62,瑞濱端,"台2線,瑞濱",,新北市,瑞芳區,,第一區養護工程處,基隆工務段
台62甲,中正端,,,基隆市,中正區,"(虛擬牌面,現地無牌面)",第一區養護工程處,基隆工務段
台62甲,孝東交流道,瑞芳;基隆,基隆;瑞芳,基隆市,信義區,,第一區養護工程處,基隆工務段
台62甲,四腳亭交流道,"四腳亭;暖暖,台62線,國道1號,國道3號",,新北市,瑞芳區,,第一區養護工程處,基隆工務段
台64,臺北港端,,,新北市,八里區,"(八里一交流道;虛擬牌面,現地無牌面)",第一區養護工程處,中和工務段
台64,八里二交流道,,"台61線,八里",新北市,八里區,,第一區養護工程處,中和工務段
台64,八里交流道,,"台15線,八里",新北市,八里區,,第一區養護工程處,中和工務段
台64,觀音山交流道,觀音山,觀音山,新北市,五股區,,第一區養護工程處,中和工務段
台64,五股一交流道,成子寮,成子寮,新北市,五股區,,第一區養護工程處,中和工務段
台64,五股二交流道,"蘆洲,更寮;五股,國道1號","五股,國道1號;蘆洲,更寮",新北市,五股區,,第一區養護工程處,中和工務段
台64,三重交流道,三重,"新莊;台1線,三重",新北市,三重區,,第一區養護工程處,中和工務段
台64,江子翠交流道,新北環快;江子翠,江子翠,新北市,三重區,,第一區養護工程處,中和工務段
台64,板橋交流道,板橋,"板橋,台北;萬板路",新北市,板橋區,,第一區養護工程處,中和工務段
台64,中和一交流道,"中和,中山路",,新北市,板橋區,,第一區養護工程處,中和工務段
台64,中和交流道,"國道3號,中和交流道",,新北市,中和區,,第一區養護工程處,中和工務段
台64,中和二交流道,"中和,圓通路",,新北市,中和區,,第一區養護工程處,中和工務段
台65,五股端,,"國道1號,五股,桃園",新北市,新莊區,,第一區養護工程處,中和工務段
台65,泰山交流道,,"泰山,國道1號,台北",新北市,新莊區,,第一區養護工程處,中和工務段
台65,新莊一交流道,,"新莊,台1線,新北大道",新北市,新莊區,,第一區養護工程處,中和工務段
台65,新莊二交流道,新莊,"新莊,台1甲線,中正路",新北市,新莊區,"台1甲線,中正路",第一區養護工程處,中和工務段
台65,板橋一交流道,"板橋,板城路",,新北市,新莊區,,第一區養護工程處,中和工務段
台65,板橋二交流道,,"板橋,縣民大道",新北市,板橋區,,第一區養護工程處,中和工務段
台65,土城一交流道,"土城,土城工業區;樹林",樹林,新北市,土城區,,第一區養護工程處,中和工務段
台65,土城二交流道,,"土城,土城工業區",新北市,土城區,,第一區養護工程處,中和工務段
台66,新屋一交流道,,"台31線,楊梅;台31線,中壢",桃園市,楊梅區,,第一區養護工程處,中壢工務段
台66,觀音交流道,,,桃園市,觀音區,"(虛擬牌面,現地無牌面)",第一區養護工程處,中壢工務段
台66,新屋一交流道,,出口,桃園市,新屋區,,第一區養護工程處,中壢工務段
