CName,EName,CToldescribe,CAdd,Picdescribe1C
隘門沙灘,Aimen beach,隘門沙灘由珊瑚與貝殼碎屑、孔蟲遺骸等組成，其中以星狀的有孔蟲最令遊客驚艷。原本默默無聞的隘門沙灘從民國87年開始，隘門村村長帶領兒子，自身做起了社區沙灘重整計畫，加裝攔沙網等設施，以攔截東北季風刮來的風砂，逐漸堆積而成。他們的努力終於獲得縣政府和澎湖國家風景區管理處的注意，撥下經費整建隘門沙灘，進而成為遊客青睞的美麗沙灘，夏季時分，隘門沙灘更成為水上活動玩家的好去處。,澎湖縣湖西鄉隘門村,隘門沙灘
吉貝嶼,Jibeiyu,"吉貝嶼全島面積約3.1平方公里，海岸線長約13公里，是北海最大的島嶼，國內最熱門的旅遊景點。全島地勢東高西低，由海積地形組成的美麗沙灘及沙嘴，為本島最大的地形特色，沙灘位本島西南，由西崁山向南延伸；在沙灘的盡頭，因受海流影響而形成伸入海中的沙嘴，全長約800公尺，最寬處約200公尺，島的四周人工分散設置許多大小石滬，全盛時期達二百餘口，目前僅剩88口，島嶼距離赤崁約5浬，航程約20分鐘。

",澎湖縣白沙鄉吉貝嶼,吉貝嶼
青洲濱海遊憩區,Qingzhou Coastal Recreation Area,擁有蔚藍海洋與陽光沙灘的青洲濱海遊憩區，佔地約7.6公頃，位於大鵬灣潟湖唯一出海口西南側，背倚大鵬灣、面向台灣海峽，觀海視野極佳，可遠眺小琉球與海面上點點船隻及海天一色美景。此處更因緊臨鵬灣跨海大橋橋邊，而成為遊客觀賞開橋的最佳「好望角」。,屏東縣東港鎮南平路631號,青洲濱海遊憩區
潮口平台,Bayfun Land,"想要來大鵬灣體驗獨木舟，那就絕不能錯過水域遊憩新景點－－潮口平台，這裡有著最夯的「紅樹林探索水域遊憩活動」，像是獨木舟、拖曳浮胎(香蕉船)、SUP等熱門體驗活動等等，皆在此進行。

大鵬灣人工溼地總面積約50公頃，匯集了台灣具代表性的紅樹科植物進行復育，體驗水道繞行長度約500公尺，水道兩邊有不同品種且茂密紅樹生長，還有豐富的招潮蟹及彈塗魚藏身其間，讓人驚嘆自然界的奧妙",屏東縣東港鎮大鵬灣紅樹林復育濕地公園,潮口平台
風帆咖啡廳,Windsurfing Café,南風徐徐，陽光暖暖，來到大鵬灣國家風景區─濱灣碼頭(帆船基地)，將會發現這裡有難得一見的帆船、獨木舟、快艇等一應俱全；為了讓遊客更親近大鵬灣域，大鵬灣管理處善用大鵬灣潟湖條件，在帆船基地打造二百公尺人工沙灘，綿密的細沙來自灣域出海口，搭配大鵬灣灣域得天獨厚的天然環境，有風無浪，備受國內風帆好手青睞，並於每年4月舉辦大鵬灣遊艇帆船系列活動，結合運動與觀光，積極推展台灣水上活動及成為國內具代表性帆船基地的地位。,,風帆咖啡廳
濱灣碼頭,Dapeng Bay Marina,南風徐徐，陽光暖暖，來到大鵬灣國家風景區─濱灣碼頭(帆船基地)，將會發現這裡有難得一見的帆船、獨木舟、快艇等一應俱全；為了讓遊客更親近大鵬灣域，大鵬灣管理處善用大鵬灣潟湖條件，在帆船基地打造二百公尺人工沙灘，綿密的細沙來自灣域出海口，搭配大鵬灣灣域得天獨厚的天然環境，有風無浪，備受國內風帆好手青睞，並於每年4月舉辦大鵬灣遊艇帆船系列活動，結合運動與觀光，積極推展台灣水上活動及成為國內具代表性帆船基地的地位。,屏東縣東港鎮濱灣公園,濱灣碼頭
花瓶岩,Flower Vase Rock,花瓶岩其實是一塊珊瑚礁岩，因地殼隆起作用而抬升於海面上，又因長期受海水差異性侵蝕，而形成頭大身小的外觀，類似花瓶的特殊造型，加上岩頂上長滿了臭娘子與盒果藤等植物，看起來如同插著花草的花瓶，因此取名為「花瓶岩」。,,花瓶岩
美人洞,Beauty Cave,"美人洞位於琉球嶼西北角，為鄉公所於民國六十四年以公共造產方式闢建而成。背山面海，奇石陳列，主要由高位珊瑚礁組成，沿途美景連連，渾然天成的礁岩洞穴隨處可見，洞外碧波萬頃，茫無際涯，身臨其境，靜聽濤聲，仰望奇石，胸襟為之豁然開朗。

美人洞十三景：

進到美人洞後，共有十三景，每一景各有千秋，值得慢慢遊覽。
包括：曲徑探幽；天外天；蝙蝠洞；情人坪；仙人洞；仙人泉；怡然園；迷人陣；一線天；榕岩谷；寧靜谷；望海亭；美人洞等。每一景各有千秋，值得細細賞玩。",,美人洞俯視
中澳沙灘,Zhongao Beach,小琉球何其幸運，是全臺可以近距離在岸邊看到綠蠵龜覓食的地方。中澳沙灘幸運的是綠蠵龜長大後會回來產卵的沙灘之一。綠蠵龜為保育類動物，每年夏季是綠蠵龜的交配、產卵期，為了保護數量日漸稀少的綠蠵龜，屏東縣政府已將此地部分沙灘劃入保護區，規定每年5月1日起至同年10月31日止，一般民眾及遊客自夜間8時至翌晨5時禁止擅入沙灘及潮間帶，違者受罰。因此下次當您於夏季到訪小琉球時，晚上請避免沙灘活動，若無法避免，也要記得注意放低音量及動作，並避免使用強光，以免干擾這群嬌客。,,中澳沙灘晨間
大福西,Dafu,大福西港(已廢港)位於加油站旁，該處場地有沙灘、垂直岸壁的設施，適合從事各類水域遊憩活動及練習場域，往外海近岸處偶爾能遇見海龜在此覓食。,,
馬沙溝海洋休閒運動渡假中心,Mashagou Coastal Recreation Area,馬沙溝本是一個沿海的傳統漁村，黃昏時分，漫天晚霞映照著海面漁船點點的景象，讓此地在昔日有台南八景之一的「綠汕帆影」之稱。又因擁有細柔沙灘及清澈海水，在進行規劃後，1980年代的馬沙溝，每到夏季就會吸引大批遊客前往遊玩，眾多攤販及多元的水上活動，使得當時馬沙溝的絡繹人潮，就如同當今的墾丁一般。雖在場域設施因時光而老舊後，沉寂了一陣子，但在精心改造後，完善的設施與得天獨厚的濱海條件，讓馬沙溝濱海遊憩區逐漸恢復了當時的盛況。煥然一新的馬沙溝濱海遊憩區，將各式活動的使用區域做了更為妥善的規劃，其中包括露營區、烤肉,臺南市725將軍區平沙里13鄰平沙140號,鳥瞰馬沙溝海洋休閒運動渡假中心
