CName,EName,CToldescribe,EToldescribe,CoastalActivities,Amenities,Px,Py,Tel,CAdd,EAdd,Opentime,OpenremarkC,OpenremarkE,Picture1,Picdescribe1C,Picdescribe1E,Picture2,Picdescribe2C,Picdescribe2E,Website,Ticketinfo,Remarks,Facebook,Twitter,Video,MapLink,Changtime
隘門沙灘,Aimen beach,隘門沙灘由珊瑚與貝殼碎屑、孔蟲遺骸等組成，其中以星狀的有孔蟲最令遊客驚艷。原本默默無聞的隘門沙灘從民國87年開始，隘門村村長帶領兒子，自身做起了社區沙灘重整計畫，加裝攔沙網等設施，以攔截東北季風刮來的風砂，逐漸堆積而成。他們的努力終於獲得縣政府和澎湖國家風景區管理處的注意，撥下經費整建隘門沙灘，進而成為遊客青睞的美麗沙灘，夏季時分，隘門沙灘更成為水上活動玩家的好去處。,"Aimen Beach is composed of beautiful white sand, fragments of corals and shells, and remains of foraminifera. It is now a major spot for water activities such as jet skiing and banana boating.","1,7,9,12,20,21,23,26","1,2,3,4,5,6,11,12,14,15,16",119.38214,23.33194,886-6-9216521,澎湖縣湖西鄉隘門村,"885Penghu CountyHusi TownshipAimen, Huxi Township, Penghu County",00:00-24:00,,,https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=A12-00350#lg=1&slide=0,隘門沙灘,Aimen beach,,,,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=b1a218f8-898e-4c93-85f7-e82513cb6fe8&Keyword=%e9%9a%98%e9%96%80%e6%b2%99%e7%81%98&SortType=1&SearchAdvanced=False&Language=1028,,,,,,,2017-09-01
吉貝嶼,Jibeiyu,"吉貝嶼全島面積約3.1平方公里，海岸線長約13公里，是北海最大的島嶼，國內最熱門的旅遊景點。全島地勢東高西低，由海積地形組成的美麗沙灘及沙嘴，為本島最大的地形特色，沙灘位本島西南，由西崁山向南延伸；在沙灘的盡頭，因受海流影響而形成伸入海中的沙嘴，全長約800公尺，最寬處約200公尺，島的四周人工分散設置許多大小石滬，全盛時期達二百餘口，目前僅剩88口，島嶼距離赤崁約5浬，航程約20分鐘。

","Jibeiyu is 3.1km in area, with a coastline of 13km; it is the largest island on the North Sea, and one of the most popular tourist spot in Taiwan. The ""Sand Beach Beak"" at the south end houses a white sand beach extending 800m.""Sand Spit"" ,a marine deposit landform, is formed by corals and shells. It is a spectacular sight when looked down from the air, a truly world-class natural landscape.","1,7,12,20,26","1,2,3,4,5,15,16",119.36885,23.43489,886-6-9933082,澎湖縣白沙鄉吉貝嶼,"Penghu CountyBaisha TownshipBaisha Township, Penghu County",00:00-24:00,,,https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=663#lg=1&slide=0,吉貝嶼,Jibeiyu,,,,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=1b4a87a6-6631-4e9b-b305-ecacd2f00364&SortType=1&SearchAdvanced=False&Language=1028,,,,,,,2019-06-10
青洲濱海遊憩區,Qingzhou Coastal Recreation Area,擁有蔚藍海洋與陽光沙灘的青洲濱海遊憩區，佔地約7.6公頃，位於大鵬灣潟湖唯一出海口西南側，背倚大鵬灣、面向台灣海峽，觀海視野極佳，可遠眺小琉球與海面上點點船隻及海天一色美景。此處更因緊臨鵬灣跨海大橋橋邊，而成為遊客觀賞開橋的最佳「好望角」。,"At the Qingzhou Coastal Recreational Area, the ocean is blue, the sun is bright, and the beach is clean. The area is located on the southwestern side of the lagoon outlet. Visitors can overlook Little Liuqiu, sailing boats, and the extensive sea that joins the sky. Characterized by water activities, this area is equipped with a scenic trail, a “Membrane Scenic Platform” (where the sounds of sea waves can be listened to most resoundingly) and a leisure beach. This is the best place to cool off in the scorching summer, surf the waves, play in the water, or try go karts on the beach.

Facilities include a visitor center, a bike rental, the 631 Café, a media screening room, conference rooms, go-karts, water motorbikes, and coastal scenic trails.",26,"2,3,4,5,14,15", 120°27'24.2,22°26'46.0,886-8-833-8100,屏東縣東港鎮南平路631號,"No.631, Nanping Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)",全天開放,全天開放,All day,https://www.dbnsa.gov.tw/Scenery-Content.aspx?lang=2&sno=04006696,青洲濱海遊憩區,Qingzhou Coastal Recreation Area,,,,,,,,,,,
潮口平台,Bayfun Land,"想要來大鵬灣體驗獨木舟，那就絕不能錯過水域遊憩新景點－－潮口平台，這裡有著最夯的「紅樹林探索水域遊憩活動」，像是獨木舟、拖曳浮胎(香蕉船)、SUP等熱門體驗活動等等，皆在此進行。

大鵬灣人工溼地總面積約50公頃，匯集了台灣具代表性的紅樹科植物進行復育，體驗水道繞行長度約500公尺，水道兩邊有不同品種且茂密紅樹生長，還有豐富的招潮蟹及彈塗魚藏身其間，讓人驚嘆自然界的奧妙","If you want to go canoeing, don’t miss “Gonger Platform,” a new tourist destination where all kinds of water activities take place. The most popular ones such as canoeing, banana boating, and SUP can all be enjoyed here.

Dapeng Bay’s artificial wetland covers 50 hectares of land, and Taiwan’s most representative mangrove plants are being restored here. The canoeing tour is about 500 meters along the waterway, whose sides are planted with different types of lush green mangrove trees. Many fiddler crabs and mussel fish can be found amidst the trees. What an awe-inspiring scene of nature!","1,9,15","2,3,4,5,6,8,15",120°27'31.1,22°27'07.7,886-8-833-8100,屏東縣東港鎮大鵬灣紅樹林復育濕地公園,"Dapeng Bay Mangrove Restoration Wetland Park, Donggang Township, Pingtung County",09:30-17:30 ,周三到周日, 09:30-17:30 (wednesday to sunday),https://www.dbnsa.gov.tw/Scenery-Content.aspx?lang=1&sno=05012310,潮口平台,Bayfun Land,,,,,,,,,,,
風帆咖啡廳,Windsurfing Café,南風徐徐，陽光暖暖，來到大鵬灣國家風景區─濱灣碼頭(帆船基地)，將會發現這裡有難得一見的帆船、獨木舟、快艇等一應俱全；為了讓遊客更親近大鵬灣域，大鵬灣管理處善用大鵬灣潟湖條件，在帆船基地打造二百公尺人工沙灘，綿密的細沙來自灣域出海口，搭配大鵬灣灣域得天獨厚的天然環境，有風無浪，備受國內風帆好手青睞，並於每年4月舉辦大鵬灣遊艇帆船系列活動，結合運動與觀光，積極推展台灣水上活動及成為國內具代表性帆船基地的地位。,"The Windsurfing Café in the park (Sailboat Base) serves cold drinks, coffee and simple set meals","1,2,4,6,12,15,26","1,2,3,4,5,6,8,12,15,16",120°28'38.5,22°26'11.7,886-8-833-8100,,,,,,,風帆咖啡廳,Windsurfing Café,,,,,,,,,,,
濱灣碼頭,Dapeng Bay Marina,南風徐徐，陽光暖暖，來到大鵬灣國家風景區─濱灣碼頭(帆船基地)，將會發現這裡有難得一見的帆船、獨木舟、快艇等一應俱全；為了讓遊客更親近大鵬灣域，大鵬灣管理處善用大鵬灣潟湖條件，在帆船基地打造二百公尺人工沙灘，綿密的細沙來自灣域出海口，搭配大鵬灣灣域得天獨厚的天然環境，有風無浪，備受國內風帆好手青睞，並於每年4月舉辦大鵬灣遊艇帆船系列活動，結合運動與觀光，積極推展台灣水上活動及成為國內具代表性帆船基地的地位。,"The Dapeng Bay Bayside Wharf (Sailboat Base) is equipped with sailboats, canoes and yachts. A 200-meter long artificial beach by the lagoon allows visitors to enjoy the bay area even more. The fine sands have come from the bay outlet. Blessed with the bay’s geographical conditions, on the beach, winds are many and waves are none—perfect for windsurfing. Sailboat activities that incorporate sports and tourism are held every year from April to June. Other water activities are also promoted so as to increase the Sailboat Club’s presence in Taiwan. Windsurfing trainings, which come with thorough equipments, are provided by professional coaches.","4,6","1,2,3,4,5,6,8,11,12,14,15,18",120°28'38.5,22°26'11.7,886-8-833-8100,屏東縣東港鎮濱灣公園,"Coastal Park (Sailboat Club), Donggang Township, Pingtung County, Taiwan (R.O.C.)",08:30-22:00 ,周一到周日,08:30-22:00 (monday to sunday),https://www.dbnsa.gov.tw/Scenery-Content.aspx?lang=1&sno=04006698,濱灣碼頭,Dapeng Bay Marina,,,,,,,,,,,
花瓶岩,Flower Vase Rock,花瓶岩其實是一塊珊瑚礁岩，因地殼隆起作用而抬升於海面上，又因長期受海水差異性侵蝕，而形成頭大身小的外觀，類似花瓶的特殊造型，加上岩頂上長滿了臭娘子與盒果藤等植物，看起來如同插著花草的花瓶，因此取名為「花瓶岩」。,"The flower Vase Rock is the most salient landmark of Little Liuqiu . It is a coral-limestone, approximately nine meters high. This coral rock has a large head and a narrow body due to sea erosion. With the tip of the rock covered with wild plants like headache trees and turpeths, the rock looks like a vase full of flowers. This is why it’s called the Vase Rock.",1.12.18.20.21.22.23.26,5,120.380954,22.35534,886-8-861-4615,,,全天開放,All day,All day,https://www.dbnsa.gov.tw/Scenery-Content.aspx?lang=1&sno=04006716,花瓶岩,Flower vase rock,,,,,,,,,,,
美人洞,Beauty Cave,"美人洞位於琉球嶼西北角，為鄉公所於民國六十四年以公共造產方式闢建而成。背山面海，奇石陳列，主要由高位珊瑚礁組成，沿途美景連連，渾然天成的礁岩洞穴隨處可見，洞外碧波萬頃，茫無際涯，身臨其境，靜聽濤聲，仰望奇石，胸襟為之豁然開朗。

美人洞十三景：

進到美人洞後，共有十三景，每一景各有千秋，值得慢慢遊覽。
包括：曲徑探幽；天外天；蝙蝠洞；情人坪；仙人洞；仙人泉；怡然園；迷人陣；一線天；榕岩谷；寧靜谷；望海亭；美人洞等。每一景各有千秋，值得細細賞玩。","Beauty Cave located in the northeast corner on the island is facing the sea in front of the mountain where has wonderful stone exhibitions.
Before entering the Beauty Cave, one may notice the ""circles"" on the seas. Those are Little Liuqiu's famous ""fishing cages."" Eels are kept in there. There are a total of 13 views to watch inside the cave, which are worth appreciation.
The 13 views of the Beauty Cave:
Narrow Sky, Bat Hole, Immortal Spring, Lover's Level ground, Honey Spring Hole, Secret Winding Path, Sky out of the sky, Sea-watching Pavilion, Beauty Hole, Delight Garden, Enchanting Spot, Banyan Tree Rock Valley and Tranquil Pavilion.",1.12.18.20.21.22.23.26,1.2.3.4.5.6.8.12.15,120.371481,22.352646,886-8-8612261,,,全天開放,All day,All day,https://www.dbnsa.gov.tw/Scenery-Content.aspx?lang=1&sno=04006717,美人洞俯視,Beauty cave,,,,,全票120元/半票80元/團體票100元(團體人數20人以上者),,,,,,
中澳沙灘,Zhongao Beach,小琉球何其幸運，是全臺可以近距離在岸邊看到綠蠵龜覓食的地方。中澳沙灘幸運的是綠蠵龜長大後會回來產卵的沙灘之一。綠蠵龜為保育類動物，每年夏季是綠蠵龜的交配、產卵期，為了保護數量日漸稀少的綠蠵龜，屏東縣政府已將此地部分沙灘劃入保護區，規定每年5月1日起至同年10月31日止，一般民眾及遊客自夜間8時至翌晨5時禁止擅入沙灘及潮間帶，違者受罰。因此下次當您於夏季到訪小琉球時，晚上請避免沙灘活動，若無法避免，也要記得注意放低音量及動作，並避免使用強光，以免干擾這群嬌客。,"Liuqiu is Taiwan's only place where people can see green sea turtles hunting for food by the shores. And Zhongao is one of the few beaches where the turtles come back to lay eggs when they grow up. Green sea turtles are an endangered species. Every summer, they mate and lay eggs. To protect the few green turtles, Pingtung County Government made the beach a conservation zone, and from May 1 to October 31 every year, visitors are forbidden to enter the beach and its intertidal zone from 8pm to 5am the next day, daily. If you ever visit Little Liuqiu in the summer, be sure to avoid night-time beach activities, or simply keep quiet if you must go to the beach. Do not use flashlights so as not to scare the precious creatures.",1.12.13.18.20.21.22.23.26,5.6,120.386672,22.351225,886-8-861-4615,,,全天開放,All day,All day,https://www.dbnsa.gov.tw/Scenery-Content.aspx?lang=1&sno=04006724,中澳沙灘晨間,Moring scenery of Zhongao Beach,,,,,,每年5月1日起至同年10月31日止，一般民眾及遊客自夜間8時至翌晨5時禁止擅入沙灘及潮間帶，違者受罰。,,,,,
大福西,Dafu,大福西港(已廢港)位於加油站旁，該處場地有沙灘、垂直岸壁的設施，適合從事各類水域遊憩活動及練習場域，往外海近岸處偶爾能遇見海龜在此覓食。,Dafu West Port (abandoned port) is located next to a gas station.  The site has sandy beaches and vertical facilities.It is suitable for various water recreational activities and practice areas.Sea turtles can occasionally be seen foraging in the offshore areas.,,5,120.370991,22.331547,886-8-861-4615,,,全天開放,All day,All day,,,,,,,,,,,,,,
